05 Jan 2013 18:23:48,813 0  INFO (ImageHorizVertSort.java:72) - Starting net.ccaper.ImageHorizVertSort.ImageHorizVertSort.
05 Jan 2013 18:23:48,821 8  INFO (ImageHorizVertSort.java:136) - Getting list of files to sort.
05 Jan 2013 18:23:49,340 527  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony120.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,341 528  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits003.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,342 529  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/6 - laschets021.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,343 530  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony144.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,343 530  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony034.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,344 531  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception093.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,345 532  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/6 - laschets018.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,346 533  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits168.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,347 534  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/2 - preceremony040.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,347 534  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception351 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,348 535  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception001.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,348 535  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception071.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,349 536  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits049.jpg' is in the ignore directories list, ignoring.
